Bruce06-1322_134bp_408bp_3u	140	1u
Bruce06-1322_134bp_408bp_3u	274	2u
Bruce06-1322_134bp_408bp_3u	408	3u
Bruce06-1322_134bp_408bp_3u	542	4u
Bruce08-1134_18bp_348bp_4u	312	2u
Bruce08-1134_18bp_348bp_4u	330	3u
Bruce08-1134_18bp_348bp_4u	348	4u
Bruce08-1134_18bp_348bp_4u	366	5u
Bruce08-1134_18bp_348bp_4u	384	6u
Bruce11-211_63bp_257bp_2u	257	2u
Bruce11-211_63bp_257bp_2u	320	3u
Bruce11-211_63bp_257bp_2u	383	4u
Bruce11-211_63bp_257bp_2u	509	6u
Bruce11-211_63bp_257bp_2u	635	8u
Bruce11-211_63bp_257bp_2u	698	9u
Bruce11-211_63bp_257bp_2u	887	12u
Bruce11-211_63bp_257bp_2u	1013	14u
Bruce11-211_63bp_257bp_2u	1076	15u
Bruce12-73_15bp_392bp_13u	302	7u
Bruce12-73_15bp_392bp_13u	317	8u
Bruce12-73_15bp_392bp_13u	327-332	9u
Bruce12-73_15bp_392bp_13u	342-347	10u
Bruce12-73_15bp_392bp_13u	362	11u
Bruce12-73_15bp_392bp_13u	377	12u
Bruce12-73_15bp_392bp_13u	392-397	13u
Bruce12-73_15bp_392bp_13u	407-411	14u
Bruce12-73_15bp_392bp_13u	422	14u
Bruce12-73_15bp_392bp_13u	437	14u
Bruce12-73_15bp_392bp_13u	452	14u
Bruce42-424_125bp_539bp_4u	164	1u
Bruce42-424_125bp_539bp_4u	289	2u
Bruce42-424_125bp_539bp_4u	414	3u
Bruce42-424_125bp_539bp_4u	539	4u
Bruce42-424_125bp_539bp_4u	664	5u
Bruce42-424_125bp_539bp_4u	789	6u
Bruce42-424_125bp_539bp_4u	914	7u
Bruce43-379_12bp_182bp_2u	170	1u
Bruce43-379_12bp_182bp_2u	182	2u
Bruce43-379_12bp_182bp_2u	194	3u
Bruce45-233_18bp_151bp_3u	133	2u
Bruce45-233_18bp_151bp_3u	151	3u
Bruce45-233_18bp_151bp_3u	169	4u
Bruce45-233_18bp_151bp_3u	187	5u
Bruce55-2066_40bp_273bp_3u	193	1u
Bruce55-2066_40bp_273bp_3u	233	2u
Bruce55-2066_40bp_273bp_3u	273	3u
Bruce55-2066_40bp_273bp_3u	313	4u
Bruce55-2066_40bp_273bp_3u	353	5u
Bruce55-2066_40bp_273bp_3u	393	6u
Bruce55-2066_40bp_273bp_3u	433	7u
Bruce55-2066_40bp_273bp_3u	533	10u
Bruce18-339_8bp_146bp_5u	130	3u
Bruce18-339_8bp_146bp_5u	138	4u
Bruce18-339_8bp_146bp_5u	146	5u
Bruce18-339_8bp_146bp_5u	154	6u
Bruce18-339_8bp_146bp_5u	162	7u
Bruce18-339_8bp_146bp_5u	170	8u
Bruce18-339_8bp_146bp_5u	178	9u
Bruce18-339_8bp_146bp_5u	186	10u
Bruce19-324_3bp_163bp_36u	76	7u
Bruce19-324_3bp_163bp_36u	82	9u
Bruce19-324_3bp_163bp_36u	88	11u
Bruce19-324_3bp_163bp_36u	163	36u
Bruce19-324_3bp_163bp_36u	169	38u
Bruce19-324_3bp_163bp_36u	172	39u
Bruce19-324_3bp_163bp_36u	175	40u
Bruce19-324_3bp_163bp_36u	178	41u
Bruce19-324_3bp_163bp_36u	184	43u
Bruce19-324_3bp_163bp_36u	187	44u
Bruce19-324_3bp_163bp_36u	190	45u
Bruce19-324_3bp_163bp_36u	193	46u
Bruce19-324_3bp_163bp_36u	202	49u
Bruce21-329_8bp_148bp_6u	140	5u
Bruce21-329_8bp_148bp_6u	148	6u
Bruce21-329_8bp_148bp_6u	156	7u
